"entity","device","service_product","count"
"VDC","AJT48546","3BBONLINE",139
"VDC","AJT48546","TMNTOPUP",139
"VDC","AJT48546","AISPROSERM",139
"VDC","AJT48546","SCBDEPOSIT",139
"VDC","AJT48546","PEA",139
"VDC","AJT48546","KTBDEPOSIT",139
"VDC","AJT48546","KBANKDEPOSIT",139
"VDC","AJT48546","DTACPROSERM",139
"VDC","AJT48546","DTAC",139
"VDC","AJT48546","BAYDEPOSIT",139
"VDC","AJT48546","BAACDEPOSIT",139
"VDC","AJT48546","APLAY",139
"VDC","AJT48546","AISFIBRE",139
"VDC","AJT48546","AIS",139
"VDC","AJT48546","TRUE",139
"VDC","AJT48546","TRUEPROSERM",139
"VDC","AJT80070","SCBDEPOSIT",137
"VDC","AJT80070","TRUE",137
"VDC","AJT80070","TRUEPROSERM",137
"VDC","AJT80070","KBANKDEPOSIT",137
"VDC","AJT80070","KTBDEPOSIT",137
"VDC","AJT80070","TMNTOPUP",137
"VDC","AJT80070","GSBDEPOSITONLINE",137
"VDC","AJT80070","DTACPROSERM",137
"VDC","AJT80070","DTAC",137
"VDC","AJT80070","BAYDEPOSIT",137
"VDC","AJT80070","APLAY",137
"VDC","AJT80070","AISPROSERM",137
"VDC","AJT80070","AIS",137
"VDC","AJT80070","AIRPAYWALLET",137
"VDP","VFE489","M-150 น้ำผึ้ง 150 มล.",136
"VDP","VFE1840","คาราบาวแดง",135
"VDP","VFE1901","เนสกาแฟ ลาเต้",132
"VDP","VFE1997","น้ำแร่มองต์เฟลอ",132
"VDP","VFE1901","เมจิกฟาร์ม มะพร้าว",132
"VDP","VFE1901","เป๊ปซี่ สลิม 245 มล.",132
"VDP","VFE1901","เบอร์ดี้โรบัสต้า 180 มล.",132
"VDP","VFE1901","น้ำแร่ อุลตร้าแมน ขนาด 500 มล.",132
"VDP","VFE1901","คาราบาวแดง",132
"VDP","VFE1901","M-150 น้ำผึ้ง 150 มล.",132
"VDP","VFE1015","เมจิกฟาร์ม มะพร้าว",128
"VDP","VFE1015","เครื่องดื่มเจลลี่รสสตรอเบอร์รี่6.11",128
"VDP","VFE1015","บิ๊กกรีนที",128
"VDP","VFE1015","บิ๊กกรีนที น้ำผึ้งผสมมะนาว",128
"VDP","VFE1015","โวลต์ กาแฟอีนและซิงค์ 215 มล.",128
"VDP","VFE1015","เอส-โคล่า",128
"VDP","VFS360","หน้ากากผ้าสีดำ+สายคล้องสีแดง N Lux",126
"VDP","VFE106","น้ำแร่ อุลตร้าแมน ขนาด 500 มล.",126
"VDP","VFE1313","M-150 น้ำผึ้ง 150 มล.",126
"VDP","VFE180","คาราบาวแดง",125
"VDC","VDC26668","MYCAT",122
"VDC","VDC26668","AIRPAYWALLET",122
"VDC","VDC26668","AIS",122
"VDC","VDC26668","AISPROSERM",122
"VDC","VDC26668","BAYDEPOSIT",122
"VDC","VDC26668","DTAC",122
"VDC","VDC26668","DTACPROSERM",122
"VDC","VDC26668","KBANKDEPOSIT",122
"VDC","VDC26668","KTBDEPOSIT",122
"VDC","VDC26668","RABBITLINEPAY",122
"VDC","VDC26668","SCBDEPOSIT",122
"VDC","VDC26668","TMNEPIN",122
"VDC","VDC26668","TMNTOPUP",122
"VDC","VDC26668","TRUE",122
"VDC","VDC26668","TRUEPROSERM",122
"VDC","VDC46460","TMNTOPUP",121
"VDC","VDC46460","BAYDEPOSIT",121
"VDC","VDC46460","DTAC",121
"VDC","VDC46460","SCBDEPOSIT",121
"VDC","VDC46460","DTACPROSERM",121
"VDC","VDC46460","AIS",121
"VDC","VDC46460","KBANKDEPOSIT",121
"VDC","VDC46460","KTBDEPOSIT",121
"VDC","VDC46460","TRUE",121
"VDP","VFE244","น้ำดื่ม อุลตร้าแมน ขนาด 500ml.",120
"VDP","VFE889","M-150 น้ำผึ้ง 150 มล.",117
"VDP","VFE1734","เป๊ปซี่ สลิม 245 มล.",116
"VDP","VFE369","เอส เพลย์ ครีมโซดา",116
"VDP","VFE369","เอส-โคล่า",116
"VDP","VFE1734","โค้ก-สลิม",116
"VDP","VFE1734","คาราบาวแดง",116
"VDP","VFE369","เนสกาแฟ ลาเต้",116
"VDP","VFE369","น้ำแร่มองต์เฟลอ",116
"VDP","VFE369","อิชิตัน เย็นเย็น จับเลี้ยง 275ml.",116
"VDP","VFE369","UFC- เฉาก๊วย",116
"VDP","VFE369","เอส เพลย์ สตรอเบอร์รี่ 250 มล. (กระป๋อง)",116
"VDP","VFE369","โค้ก-ซีโร่ 245ml. (1x12)",116
"VDP","VFE2235","น้ำดื่ม อุลตร้าแมน ขนาด 500ml.",116
"VDP","VFE369","ชเวปส์",116
"VDP","VFE369","บิ๊กโคล่า-น้ำดำ",116
"VDP","VFE369","M-Sport 250 ml.",116
